time,fusion
2018-01-15 22:00:00,25009kt 3000 DZ OVC015 BKN 12 12 q1025 21007KT 3000 -DZ BR OVC013 11/10 Q1026 TEMPO 1500 RADZ BCFG
2018-01-16 04:00:00,26011kt 5000 RA BKN015 BKN 13 12 q1026 23003KT 210V270 4400 -RA BR BKN012/// OVC022/// 12/12 Q1026
2018-01-16 07:00:00,25009kt 9999 DZ BKN015 BKN 13 11 q1026 26004KT 200V300 7000 BKN015 BKN022 13/11 Q1027 TEMPO 3000 -RA BR BKN012
2018-01-16 12:00:00,25007kt 9999 WM BKN025 BKN 13 11 q1028 25005KT 210V330 9000 BKN020 14/11 Q1028 NOSIG
2018-01-16 14:00:00,24009kt 9999 WM BKN025 BKN 13 11 q1027 25009KT 190V300 9000 BKN020 BKN025 15/11 Q1027 NOSIG
2018-01-16 17:00:00,27011kt 3000 DZ BKN015 BKN 12 11 q1027 29007KT 220V320 7000 BKN015 BKN020 13/12 Q1027 NOSIG
2018-01-16 19:00:00,25011kt 9999 DZ SCT015 BKN 13 10 q1028 28006KT 240V340 4500 -DZ SCT014 BKN020 BKN032 13/12 Q1027 TEMPO 2000 DZ BKN010
2018-01-16 20:00:00,26009kt 9999 WM SCT025 SCT 12 10 q1028 26009KT 230V310 9999 FEW013 SCT020 BKN035 13/11 Q1028 TEMPO 2000 DZ BKN010
2018-01-17 02:00:00,30007kt 9999 WM FEW025 OVC 11 08 q1029 34009KT 320V030 9000 FEW023/// OVC048/// 12/09 Q1029
2018-01-17 03:00:00,30007kt 9999 WM FEW050 BKN 11 08 q1029 32004KT 250V010 9999 FEW035/// BKN045/// 12/07 Q1030
2018-01-17 04:00:00,30007kt 9999 WM FEW050 BKN 10 08 q1030 31005KT 260V010 9999 BKN048 11/06 Q1029
2018-01-17 05:00:00,30007kt 9999 WM FEW030 BKN 10 07 q1030 33004KT 270V010 9999 SCT030 BKN046 11/07 Q1030 NOSIG
2018-01-17 07:00:00,30007kt 9999 WM SCT030 SCT 10 06 q1030 VRB02KT 9999 SCT040 BKN045 11/06 Q1030 NOSIG
2018-01-17 09:00:00,32005kt 9999 WM FEW030 SCT 09 07 q1031 35005KT 290V030 9999 FEW029 SCT034 11/07 Q1031 NOSIG
2018-01-17 10:00:00,31005kt 9999 WM FEW030 BKN 10 07 q1031 36003KT 320V050 9999 FEW030 BKN048 11/07 Q1031 NOSIG
2018-01-17 11:00:00,31003kt 9999 WM FEW030 BKN 10 07 q1031 03005KT 330V060 9999 BKN048 12/07 Q1032 NOSIG
